line,intent
"If he is a great person, his skin color should not matter.",Opinion (Judging)
"On the other hand, it is possible to find a new best friend- there is an abundance out there.",Advice/Opinion-seeking
I am unaware if it is possible.,Information Seeking
There is no difference between ages if the intellect is similar.,Opinion (Judging)
Please come and assist me girls.,Support
I do hope you enjoy my ideas!,Support
"Message me and if you have any trouble contacting me, try the number five.",Procedurality
"If you are attracted to him, I think the best plan of action is to ask him out on a date and attempt to spend some more time with him.",Advice/Opinion-seeking
"Ultimately, it is important to trust yourself and plan your actions accordingly.",Advice/Opinion-seeking
You might want to go over to her house and explain that you have more things to discuss with her.,Advice/Opinion-seeking
Husbands can be just as quick to erection as men much younger than them.,Assessing/Judging
"God has all power, why not love him?",Opinion-Seeking
"The age is not an issue, we are from different races.",Opinion Seeking
Actions speak louder than words.,Judging
I have to follow my instinct.,Preferences/Decisions
You give me reason and power. Will you love me?,Emotional Expression
"In addition to skin color difference, we have an age issue.",Complaints/Rants
"There is more to love than just saying ""I love you"".",Advice/Opinion-seeking
What do you do if you are in love with a girl on the internet?,Advice/Opinion-seeking
That is my personal opinion.,Advice/Opinion-seeking
"If she is happy, you shouldn't let your jealousy get in the way.",Advice/Opinion-seeking
I always get stuck with someone who resembles a lumberjack!,Complaints/Rants
They do it because they love each other.,Causality
It's too bad you aren't aware of how he ended his relationship with his daughter's mother.,Gossip
You can meet another girl since there are so many available!,Advice/Opinion-seeking
"Do you believe I should believe this individual, or leave him?",Advice/Opinion-seeking
For what reason would you purchase the cow if the milk itself is free?,Causality
"Given the game is serious, however, do not get pregnant.",Warning/Caution
"Nonetheless, you are a kind individual to be around.",Compliments/Casual Conversation
"Whether it is the first time or the hundredth time, please use protection.",Advice/Opinion-seeking
"As I have said before, finding that special person just happens; you cannot plan it.",Advice/Opinion-seeking
"If there is one think girls like, it is a man who smells nice.",Opinion
Look at my question - I posted that I need help as well.,Inquiry
Mature men could not care less whether or not their girlfriend is a virgin.,Judging
It could be a trust thing as my mother is like that when my step dad goes away.,Information Sharing
He has a family so allow him to reconcile with his lady.,Advice/Opinion-seeking
"All is well, God already has the right person for you.",Support
I am undecided.,Preferences/Decisions
Some guys do not care about females.,Assessing/Judging
He has a baby. Let him work things out with his girlfriend.,Advice/Opinion-seeking
Your situation is fine. You are waiting for the right person or you tend not to trust people.,Advice/Opinion-seeking
"First, please explain how it is possible that he had no choice.",Inquiry
I am somewhat stuck in the middle.,Casual Conversation
"The reason is that a man will lie, cheat, and steal to get you into bed.",Judging
That is if you still care about me.,Emotional Expression
I really enjoy Gotham City.,Preferences/Decisions
I question whether or not I should just cut girls out of my life.,Advice/Opinion-seeking
"You are not in love with me, you just needed a friend at the time.",Judging
If she tells you that you should know that she does then disregard her statement.,Advice/Opinion-seeking
"He had an extroverted personality, while I have an introverted personality.",Casual Conversation
You have nothing to lose because the formulation of this plan already ensures your doom.,Warning/Caution
The right person for you is out there.,Support
You are in the right place at this moment.,Support
"I love derrieres, so please dance to your heart's content!",Humor
He is outgoing and I am quiet.,Assessing/Judging
You still have a chance to get right with God as long as you have breath.,Support
If it is God's will for you then He will bring you your soul mate.,Support
Your present position is good.,Support
"I know that I'm crazy, but I have to leave you.",Emotional Expression
"I'm assuming that you are referring to ""American.""",Casual Conversation
It may be that he/she just wants something.,Judging
A tear came out of his eye when he said that.,Casual Conversation
"I guess that women are creative, however, I think that men are even more creative.",Judging
Ask him about that.,Advice/Opinion-seeking
Simply ask him if he likes you,Advice/Opinion-seeking
"She doesn't prefer the ""usual guys"" and we can't keep her locked up in the house.",Complaints/Rants
You will not be hurt in that amount of time.,Support/Comfort
"Keep you eyes open, but love him anyway.",Advice/Opinion-seeking
What is a heady coctail that girls find irresistible?,Information Seeking
"I love your questions, please give me more to answer.",Support
Does she feel the same way?,Information Seeking
That is when your underwear will get sucked up by your butt crack.,Humor
Just because they might say it back doesn't mean anything. They're only words.,Assessing/Judging
I'm not sure that I want to date anybody else. Should I just be patient?,Advice/Opinion-seeking
Is there signs? you should ask him. It's the best way.,Advice/Opinion-seeking
I don't believe in chat lines. Just be yourself.,Preferences/Decisions
"Listen to track 10 on the ""XXX"" soundtrack.",Procedurality
Why can't he just hear me out?,Complaints/Rants
"If you fail, then ask until you succeed.",Advice/Opinion-seeking
He needs to love it and want to work on it.,Advice/Opinion-seeking
Are you looking for bad or nice girls?,Inquiry
Because the destiny of human has been to ask until death!,Philosophical Statement
Counseling could be a sensible option.,Advice/Opinion-seeking
He would really like it if you kissed him.,Assessing/Judging
You don't look your best.,Complaints/Rants
She is probably taking advantage of you--end the relationship.,Advice/Opinion-seeking
"You will make someone happy, if only for a short while.",Emotion मुद्रा
You would not like it at all and would probably be upset over it.,Assessing/Judging
Tell her if you find something nice or pretty or if something upsets you.,Advice/Opinion-seeking
Are you hesitant to talk to them.,Information Seeking
You always want what you can not have,Judging
I am still in love with him.,Emotional Expression
Loosen her up and see what happens.,Advice/Opinion-seeking
I made strange looks at the girls that I like in order to throw them off.,Personal Experiences
Balance and getting the rent paid are sexy.,Casual Conversation
It began in the days of the cavemen.,Information
"That is a stupid inquiry, what possible reason would Jesse have for desiring to date you?",Snark/Sarcasm
Will a wink and small amount of flirting be of assistance?,Advice/Opinion-seeking
Cut ever connection completely so it becomes out of both view and thought.,Advice/Opinion-seeking
"I met my husband through online channels and, to my knowledge, he is not a serial killer.",Casual Conversation
Spend time with her.,Advice/Opinion-seeking
I am telling you it is true.,Assertion
Cherish and love them forever.,Support
"I met my boyfriend, Ted Carter, and now i know what it means to be happy.",Emotional Expression
I hate to say this but I do not believe she will be faithful to you.,Assessing/Judging
I do not understand why the house was in such disarray.,Causality
"If a girl is not that into you, she will not even think about letting you kiss her goodbye.",Assessing/Judging
This could take anywhere from a few weeks to a couple months to happen.,Information
"When your partner starts to complain that you are constantly worried about spending to much money, you know you have a problem.",Assessing/Judging
It did take time to get over it. Going to the strip club helped me with that.,Personal Experiences/Recommendations
"Certainly, but women don't make it out as a big issue like men do.",Judging
"That would be either a marriage proposal, or a ring.",Humor
"I hope things work out for you, best of luck!",Support
I am curious what type of man women find irresistably attractive.,Information Seeking
Stop criticizing your mother so much and allow her to have fun.,Advice/Opinion-seeking
"He is unable to choose the women he would like to have a relationship with, compared to well-endowed men.",Assessing/Judging
Maybe she is not ready to make such a large commitment as marriage.,Assessing/Judging
You should associate with girls similar to your own age.,Advice/Opinion-seeking
You should ask her how her day is going.,Advice/Opinion-seeking
Just continue searching and it will happen.,Advice/Opinion-seeking
I do not understand why there is such a commotion.,Causality
Self-love is more important than money and does not cost anything.,Opinion Expression
"You do not know the meaning of ""full-figured woman""?",Information Seeking
"The intercourse may not be good, you can ask them.",Advice/Opinion-seeking
This sounds like domestic violence to me.,Judging
I was wondering what you thought about it.,Advice/Opinion-seeking
"Thank you, but i do not want to hurt their feelings.",Advice/Opinion-seeking
The Christmas card says Merry Christmas.,Information
He needs to gain your trust and respect.,Advice/Opinion-seeking
"My final choice would be something like full length, thick, long pajamas.",Preferences and Decisions
"People grow up at different ages, and some never do.",Opinion
Don't just get a simple chick.,Preferences/Decisions
No problem if he is interested in you too!,Support
Call her later on during the day and then kiss her.,Advice/Opinion-seeking
Do you understand? Do not call me again!,Warning/Caution
Who is going to arrest you for asking a man on a date?,Humor
Do not talk about your work or anything that could be considered boring.,Advice/Opinion-seeking
You become depressed sometimes and feel as though you cannot do anything. Let it go.,Support
You should take her to a nice dinner or something of that nature.,Advice/Opinion-seeking
"You understand what I am saying. Observe, Learn, and Apply.",Advice/Opinion-seeking
Is it goodbye when it does not feel worth it anymore?,Advice/Opinion-seeking
Could it be that you are looking for someone to make it happen for you?,Inquiry
"I do not know, however, in my opinion, you sound both desperate and as though you require physical intimacy.",Assessing/ Judging
I was not sure if I was.,Casual Conversation
"Yes, there is an end, but you have to go through a couple of bad ones first.",Advice/Opinion-seeking
You never listen to them at all.,Complaint/Rant
"You have a once in a lifetime chance, so you should enjoy it.",Advice/Opinion-seeking
"The best of luck to you as you look for love, if you have not found love already.",Support
You should spend more time with girls.,Advice/Opinion-seeking
"If things don't work out between you two, come to an understanding.",Advice/Opinion-seeking
"Don't worry about anything, his sister is going too.",Support
Please don't make it a cage.,Support
It's like if a man were walking a toy poodle instead of a large dog.,Humor
"I would say no, if he is really trying to find one.",Advice/Opinion-seeking
"The right person for you won't reject you, so just keep looking for that person.",Advice/Opinion-seeking
And never make her feel guilty over whatever her answer is.,Advice/Opinion-seeking
"When you are talking to her, be genuinely interested in what she is talking about.",Advice/Opinion-seeking
"There is no reason to get angry, because it will not solve anything.",Advice/Opinion-seeking
"It's like Russian Roulette, in the end you always lose!",Emotional Expression
"If so, don't damn her for the same thing that you would do.",Judging
What is he so angry about?,Inquiry
Do priests also perform inappropriate activities with altarboys?,Subjective Questions
The point being is don't get too much that you spoil your life.,Advice/Opinion-seeking
"If he does feel the same way about you, he will not ignore you. He will not ruin the friendship.",Assessing/Judging
I like to hang out with friends every chance I get.,Casual Conversation
"What are physical disabilities, like someone who uses a wheelcahir?",Information Seeking
What is the rule for that?,Information Seeking
"You will have to read my other questions and then you will know how to answer this, ok?",Procedurality
Was he able to find a girl in time?,Information Seeking
"That would not be true. People are human, so they make mistakes all the time. It does not matter whether they are in love.",Opinion/Wisdom Based Advice
"And of course, then doing the housework.",Complaints/Rants
"It would be perfectly fine, as long as you love children and you love him.",Advice/Opinion-seeking
"It could be that he's just not ready to say the words ""I love you"" yet.",Advice/Opinion-seeking
"So what if he isn't understanding of it, if he does that?",Complaints/Rants
We guys do not care for lesbians at all.,Judging
Well I will share my story of my ex-husband.,Personal Experiences/Recommendations
If he is not smiling already just by gazing at you!,Opinion - Judging
Wear short outfits only for him.,Preferences/Decisions
It is perfectly all right because many girls have asked me out.,Personal Experiences/Recommendations
If you cannot spend time with her and communicate there is no reason to pursue.,Advice/Opinion-seeking
Most of the time it does not mean anything.,Opinion
Marrying your best friend will be the best decision you will ever make in your life.,Preferences/Decisions
If you are then you like marrying both men and women.,Judging
"Unfortunately, women tend to not think rationally sometimes. It's a shame for the men in their lives, but unavoidable.",Judging
I feel that you may be acting too persistant about it.,Judging
It does not bother me.,Preferences/Decisions
"Without trying, you may have regrets later of what opportunities you may have missed.",Advice/Opinion-seeking
Have you ever had sexual relations in a vehicle?,Personal Experiences/Recommendations
I support the ability for anyone to get married.,Opinion Expression
"No, I do not mean dropping hints.",Clarification
"Older men are very nice, also.",Opinion
"He also started to smoke, which I do not like. That is not the sweet, loving guy I met years ago.",Complaints/Rants
You should make sure he uses protection.,Advice/Opinion-seeking
"You should prevent him, by blocking all the pornographic websites.",Advice/Opinion-seeking
Most likely you're not the only one who utilizes it.,Casual Conversation
You're a very funny woman.,Casual Conversation
"Primarily, I will marry for love. If both things appear, I'll happily take them.",Preferences/Decisions
"Men grovel for sex, woman love that.",Opinion
And not only car doors but every door. It's everywhere we go!,Complaints/Rants
I have seen this in a movie.,Casual Conversation
Everyone Fights. But you do no want to waste your life on one girl if you do no love her.,Advice/Opinion-seeking
"There is no excuse not to have a job, sir.",Judging
Who would want someone who treats them like trash.,Complaints/Rants
Because some want to have children and some don't.,Preferences/Decisions
"But love is the ability to feel it, and know you are in love with someone.",Opinion
"Try this website, it a fantastic search engine and might be useful.",Personal Experiences/Recommendations
My wife has huge breats.,Casual Conversation
"Hello, I am from Iran and I want to get married to a great man who love me.",Casual Conversation
"Do not flirt, do not talk, and do not dance with that person.",Advice/Opinion-seeking
Let her be if she will not listen.,Advice/Opinion-seeking
It has worked out really well so far.,Personal Experiences/Recommendations
"Woman give lots of explanation for everything and they repeat it 10,000 times.",Opinion (Judging)
That is just too unreasonable.,Complaints/Rants
Those types of people are not fun to be around!,Complaints/Rants
I am not going to let one night of intercourse ruin my home and family.,Personal Decision
Please list something that you would like for a belated Christmas gift.,Inquiry
Your husband gave you a ring.,Information Sharing
Just be direct and ask her to be your girlfriend.,Advice/Opinion-seeking
"Only if you wish to, but deep in your mind you can't forget.",Socio-emotional
"To be sure, if your mother found out, she would be quite upset.",Assessing/Judging
There are many suspicious stalker types out there.,Warning/Caution
You can look her up in the house. It's your right as a parent.,Advice/Opinion-seeking
"Ethan Hawke. Beauty is not his best quality, but he is quite attractive and appealing.",Judging
Your best friend would be happy to help you.,Support
American's are larger in size than other countries.,Judging
"Congratulations, and don't give up!",Support
Be careful in case something goes wrong.,Warning/Caution
"I'm sorry, but I don't think she likes you.",Assessing/Judging
"When they say something dirty, it sounds very naughty.",Humor
Maybe an angel is not for you.,Assessing/Judging
Do not listen to the young one.,Warning/Caution
What do guys enjoy during sex?,Information Seeking
It depends on what you like?,Advice/Opinion-seeking
Love is not a thing to be ashamed of.,Opinion
"Okay, so I really this guy at school alot since 3 years ago.",Expressing Preferences and Decisions
But don't give her or her family any reason to not like you.,Advice/Opinion-seeking
"Rouse Christina, you don't know what I mean by saying that?",Casual Conversation
"First the forehead, down to my cheeks, then the lips.",Casual Conversation
Do not use pick up lines to start talking to them.,Advice/Opinion-seeking
I have wanted to do something like this as well.,Casual Conversation
Did you masturbate in front of one another?,Objective Questions
"If you really love him, give him one more chance to change.",Advice/Opinion-seeking
I do not even remember how our friendship started.,Casual Conversation
"No, because that is the beginning of what is about to come.",Causality
I am a 20 year old liberal high school graduate.,Casual Conversation
It is because you know that he is having fun and that you are not.,Causality
They are just plain ignorant!,Complaints/Rants
I would suggest that you take it easy if you think that he or she still loves you.,Advice/Opinion-seeking
It is okay; he is probably with his family.,Casual Conversation
"As I said before - if you trust him, I would not worry.",Advice/Opinion-seeking
They do not even bother to talk to you.,Complaints/Rants
"I will love you forever, XBOX 360.",Emotional Expression
They feel as if they want to have those kinds of things.,Opinion
"Romance is definitely great: candles, rose petals, etc.",Casual Conversation
"Why not watch the comet, doesn't occur that happen.",Suggestion/Recommendation
"She's not content, because I work too hard.",Causality
"To purchase the correct gift, think of her favorite thing, place, and person.",Advice/Opinion-seeking
They're little love cards with sticky notes.,Casual Conversation
My daughter is 10. She thinks it is disgusting. She does not like the idea at all.,Preferences/Decisions
"My choices would be: music by Usher, ""Wine"" by R Kelly, and anything that is soft R&B and has a good beat.",Preferences/Decisions
"The most important thing is love, because love causes romance to grow.",Opinion - Preferences/Decisions
Stop it before you try to start something serious.,Advice/Opinion-seeking
"Clearly my friend, being rejected would be the worst thing that could happen.",Opinion (Judging)
Such as a cd from a band that he likes.,Information Seeking
They have not yet figured out that girls are people and not toys.,Complaints/Rants
He says he has to cheat?,Inquiry
She probably thinks that you are weak now.,Judging
"I really like him, but we are very good friends and I do not want to ruin that.",Preferences/Decisions
"And listen, to see what she says.",Advice/Opinion-seeking
"There is no  debate for me, love all the way.",Preferences/Decisions
"Tell her all the things you love about her, no matter where you are or what your doing.",Advice/Opinion-seeking
If that doesn't work refer to line number 1.,Procedurality
"They make vibrators, it's time you join in the fun!",Humor
Are you looking for a trophy boyfriend?,Objective Questions
"If you want to get together and are interested in her, then go for it.",Advice/Opinion-seeking
There is always a secluded place to be found.,Opinion
"If you do not feel safe, then you probably are not.",Warning/Caution
I hope it works out for you!,Support
"It's very romantic, she'll enjoy it.",Personal Experiences/Recommendations
Act as if you feel comfortable with him.,Advice/Opinion-seeking
"You should talk about it with ythem, or your boss. Definitely not me!",Advice/Opinion-seeking
"Sit down on the couch, and watch it with him.",Advice/Opinion-seeking
I'm stressing out so bad.,Support
I am afraid of Zen Monkey wisdom while worshiping it at the same time.,Emotional Expression
"No, of course I would never do that so soon after their relationship ended.",Assessing/Judging
But he made a mistake and lied to me many times.,Complaints/Rants
"Simply hug her, tell her you love her, and take her for a walk.",Advice/Opinion-seeking
"""I can do more repeatedly. I am the master of coitus."" That is what I will say.",Humor/Snark
I am one of them; what do you want?,Casual Conversation
"If kinky is normal, than sure.",Humor/Snark/Sarcasm
Can you call a person a friend?,Information Seeking
"If we do not get affection, we feel unwanted and unloved by the man we crave it from.",Assessing/Judging
Is your inner heart telling you that it is right?,Advice/Opinion-seeking
"Ladies love confidence, and the puppy dog eyes might also catch their attention!",Humor
A lot of people forget it is not about me.,Complaints/Rants
Ladies please answer with a score value of one being no and ten being yes.,Objective Questions
I think that drove her crazy because she could not tell how I felt about her.,Causality
The better question today would be where should you get it from?,Objective Questions
Did you have virtual sex with him?,Inquiry
Tell her because if you choose not to then you will always regret it and wonder about what happened if you had.,Advice/Opinion-seeking
I mean yes when I say yes and no when I say no.,Casual Conversation
Since he begged me to stay and said he would do anything to keep me.,Reporting Personal Experience
So what if you live with your parents?!,Complaints/Rants
"When you are with him, do you ask him how he feels? And if so, does he tell you?",Inquiry
I dislike men who are awkward when they ask for a date.,Preferences/Decisions
If you would like to speak with me about this.,Offer/Invitation
Tell him you do not wish to speak to him or have any other contact with him from this time forward.,Advice/Opinion-seeking
"If looks are what you're interested in, you're going to have to look your best at all times.",Advice/Opinion-seeking
"If you do, you could become wealthy.",Opinion-Seeking/Advice
Consider purchasing her a necklace. She'll enjoy that.,Advice/Opinion-seeking
"There is. Keep looking, perhaps one day you will find him.",Support
"Friends will see it, but don't want to interfere.",Complaints/Rants
"When you interact with others, treat them the way you wish to be treated.",Advice/Opinion-seeking
He wants to get married and have children.,Preferences/Decisions
I love you very much honey.,Emotional Expression
"do not worry, this pain feels really good.",Emotional Expression
I would like to be loved and to love in return,Emotional Expression
I am being considerate of her personal needs and feelings.,Support
The idea of losing my significant other is terrible to think about.,Emotional Expression
"Just so you know, I am a female; however, I will be going now.",Casual Conversation
"If you are interested in exploring potential love interests in the technology sector, visit the Northbound Mountain View Caltrain Stop at 5:20 pm.",Information
"I do not believe that being ""thick"" means that one is fat.",Judging
"It is my sense that you do not want a romantic relationship, but only to have a man involved in your life.",Assessing/Judging
What should I do to gain her confidence again?,Advice/Opinion-seeking
Many younger men spend a good deal of time deciding whether they wish to have children at all.,Observations/Generalizations
"In addition, we are on a fairly restrictive budget!",Complaints/Rants
"Because he is rude, and incidentally it seems that he should not be around you or your infant.",Warning/Caution
I really hope that isn't a serious question.,Snark/Sarcasm
I had to ask my husband out several times before he agreed. Now we've been happily married fifthteen years.,Personal Experiences/Recommendations
"Mostly woman are attracted to sensitive men, but not all.",Opinion/Generalization
"You should get busy join a sports team, and stay busy!",Advice/Opinion-Seeking
You certain you're not infatuated with her?,Opinion Seeking
It sounds like 2 or 3 jobs.,Opinion
Love is nothing but the interaction between any two people/persons.,Opinion
You can only meet an honest man in your dreams.,Humor
Women are not control freaks. They just want to have things done the way they want.,Judging
It is not gay if you like to have a girl to have sex with your butt.,Judging
I am very attracted to the look and accent of foreigners.,Preferences/Decisions
"She probably did not think that way deliberately; it is subconscious ""survival of the fittest"".",Assessing/Judging
"But if he is not, you can either threaten or help him.",Advice/Opinion-seeking
"Since I am a newlywed, I know I sometimes do it three or four times.",Casual Conversation
"You can be nice but devilish in the bedroom with her, at the same time.",Advice/Opinion-seeking
"Allow her to have some time to herself, but you should still buy her a special gift as a reminder that you are still true to her.",Advice/Opinion-seeking
It is important to note that he does not exacerbate issues in a negative way.,Judging
His finances are secure and he remains focused on his goals in life.,Information
What is your opinion on gay marriage?,Advice/Opinion-seeking
"When their relationship begins to have problems, you should let him know that you are interested and would be grateful for a chance with him.",Advice/Opinion-seeking
"If you are, you might want to ask if they would mind.",Advice/Opinion-seeking
"No, I do not believe so - I still think love is great, but then I look at domestic violence situations.",Judging
"Without love, there cannot be romance.",Opinion
Have you never looked at pornography?,Inquiry
Try not to argue with him.,Advice/Opinion-seeking
I know him. Call out to him.,Casual Conversation
Should I forgive him?,Advice/Opinion-seeking
I am the first one to admit when I need help.,Confession/Admission
I do not have the space to type all the reasons.,Complaints/Rants
